name,enabled,next_plant,rarety,steps,harvest_max,eat_hp,to_culture,to_dig,has_harvest,on_soil,punchable,infectable,seed_extractable,use_flail,use_trellis,for_coffee,snappy,temperature_min,temperature_max,humidity_min,humidity_max,elevation_min,elevation_max,light_min,light_max,infect_rate_base,infect_rate_monoculture,spread_rate,grow_time_mean,straw,culture_rate
default,1,,10,8,2,1,,,,,,,,,,,3,15,50,10,50,0,31000,11,14,1E-05,0.001,0.001,120,,
barley,1,,10,7,2,1,,,1,1,,1,,1,,1,3,25,80,30,80,0,100,11,14,1E-05,0.001,0.001,120,farming:straw,
beetroot,1,,10,5,2,2,,1,,1,,,,,,,3,35,80,30,80,0,100,9,14,1E-05,0.001,0.001,120,,
blackberry,1,,10,4,2,1,,,,,1,,,,,,3,15,90,20,80,0,100,9,14,1E-05,0.001,0.001,120,,
blueberry,1,,10,4,2,1,,,,,1,,,,,,3,45,90,40,90,0,100,9,14,1E-05,0.001,0.001,120,,
carrot,1,,10,8,2,2,,1,,1,,,,,,,3,45,80,30,90,0,100,8,14,1E-05,0.001,0.001,120,,
chili,1,,20,8,2,1,,,,,1,,,,,,3,45,90,10,50,50,1000,11,14,1E-05,0.001,0.001,120,,
coffee,1,,20,5,2,1,,,,,1,,,,,1,3,50,120,50,150,50,1000,12,14,1E-05,0.001,0.001,120,,
cocoa,1,,20,4,2,1,,,,,1,,,,,1,3,50,120,40,150,50,1000,12,14,1E-05,0.001,0.001,120,,
corn,1,,10,8,2,2,,,,1,,1,,,,,3,35,90,30,80,0,100,11,14,1E-05,0.001,0.001,120,,
cotton,1,,10,8,2,2,,,1,1,,1,,1,,,3,45,90,20,60,0,100,12,14,1E-05,0.001,0.001,120,,
culturewheat,1,,100,4,2,1,1,,1,1,,1,,1,,1,3,25,80,40,80,0,100,10,14,1E-05,0.001,0.001,100,farming:straw,
flax,,,10,7,2,1,,,1,1,,1,,1,,,3,25,80,30,80,0,100,11,14,1E-05,0.001,0.001,120,farming:flaw,
garlic,,,10,5,2,2,,1,,1,,,,,,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,
grapes,1,,10,8,2,2,1,,,1,1,1,,,1,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,
hemp,1,,10,8,2,2,,,1,,,,,1,,,3,15,120,10,,0,,6,14,1E-05,0.001,1E-05,90,farming:hemp_fibre,
hop,1,,10,7,2,1,1,,,1,1,1,,,1,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,
mustard,1,,10,5,2,1,,,,,,1,,,,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,
potato,1,,10,4,2,2,,,,1,,1,,,,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,
raspberry,1,,10,4,2,1,,,,,1,,,,,,3,15,50,10,50,0,100,9,14,1E-05,0.001,0.001,120,,
rhubarb,1,,10,3,2,2,,1,,1,,,,,,,3,15,50,10,50,0,100,9,14,1E-05,0.001,0.001,120,,
spelt,1,,10,7,2,1,,,1,1,,1,,1,,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,farming:straw,
strawberry,1,,10,4,2,1,,,,,1,,,,,,3,15,50,10,50,0,100,9,14,1E-05,0.001,0.001,120,,
tea,,,20,5,2,1,,,,,1,,1,,,,3,30,70,30,70,50,100,11,14,1E-05,0.001,0.001,120,,
tobaco,,,10,8,2,2,,,,1,,1,1,,,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,
tomato,1,,10,8,2,1,,,1,1,1,1,,,1,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,
urtica,1,,10,5,2,1,,,1,,,,,1,,,3,5,150,10,100,0,2000,6,14,1E-05,0.001,0.001,80,farming:urtica_fibre,
wheat,1,culturewheat,10,8,2,1,,,1,1,,1,,1,,1,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,farming:straw,10
wildhop,1,hop,10,6,2,1,,,,,,,,,,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,5
wildgrapes,1,grapes,10,4,2,1,,,,,,,,,,,3,15,50,10,50,0,100,11,14,1E-05,0.001,0.001,120,,5
